City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,susuman,62.7833,148.1667,0.55,75,84,2.24,RU,1715141273
200,pucheng,27.9233,118.5333,27.83,32,50,4.06,CN,1715141273
201,alice springs,-23.7,133.8833,21.75,40,70,5.14,AU,1715141274
202,cockburn town,21.4612,-71.1419,25.08,78,86,7.2,TC,1715141274
203,enoch,37.7733,-113.0244,7.49,46,0,7.2,US,1715141274
204,rio gallegos,-51.6226,-69.2181,1.11,90,76,2.08,AR,1715141274
205,keflavik,64.0049,-22.5624,3.24,81,40,4.12,IS,1715141275
206,west bay,19.3667,-81.4167,26.7,91,3,2.82,KY,1715141275
207,akrehamn,59.2667,5.1833,9.44,93,100,4.12,NO,1715141275
208,eiterfeld,50.7667,9.8,7.43,98,31,1.58,DE,1715141275
209,kirakira,-10.4544,161.9205,28.87,77,97,4.58,SB,1715141275
210,punta arenas,-53.15,-70.9167,2.06,87,75,2.06,CL,1715141276
211,anadyr,64.75,177.4833,-6.72,67,75,3.0,RU,1715141276
212,holualoa,19.6228,-155.9522,23.91,91,100,4.12,US,1715141276
213,sierra grande,-41.606,-65.3557,8.11,50,100,9.41,AR,1715141276
214,antsiranana,-12.2787,49.2917,24.82,79,86,7.87,MG,1715141276
215,bubaque,11.2833,-15.8333,25.97,74,10,5.32,GW,1715141276
216,nadym,65.5333,72.5167,-5.02,93,99,8.26,RU,1715141277
217,assomada,15.1,-23.6833,21.75,66,1,3.25,CV,1715141277
218,fomboni,-12.28,43.7425,28.22,71,75,9.59,KM,1715141277
219,illizi,26.4833,8.4667,26.01,24,10,2.02,DZ,1715141277
220,inhambane,-23.865,35.3833,17.99,100,20,0.0,MZ,1715141277
221,delyatyn,48.5235,24.6247,7.37,98,100,1.69,UA,1715141278
222,ca mau,9.1769,105.15,34.42,49,40,5.08,VN,1715141278
223,margate,51.3813,1.3862,11.28,84,6,0.89,GB,1715141278
224,mersing,2.4312,103.8405,30.98,64,100,2.18,MY,1715141278
225,bentonville,36.3728,-94.2088,18.0,81,0,0.0,US,1715141080
226,cururupu,-1.8283,-44.8683,23.83,97,63,0.36,BR,1715141279
227,caravaggio,45.4989,9.6405,14.34,92,100,1.58,IT,1715141279
228,sao gabriel da cachoeira,-0.1303,-67.0892,23.7,95,82,1.44,BR,1715141279
229,san patricio,28.017,-97.5169,26.59,92,88,4.63,US,1715141279
230,labuan,5.2767,115.2417,28.36,76,34,2.6,MY,1715141279
231,north battleford,52.7834,-108.2847,9.67,72,100,3.63,CA,1715141279
232,saint-pierre,-21.3393,55.4781,21.82,60,0,3.09,RE,1715141280
233,marquette,46.5333,-87.6335,11.25,81,94,0.67,US,1715141280
234,zhaotong,27.3167,103.7167,14.12,86,100,2.98,CN,1715141280
235,virar,19.4667,72.8,31.01,59,0,2.25,IN,1715141280
236,conduaga,8.862,117.4893,33.09,56,86,4.13,PH,1715141280
237,olyokminsk,60.3736,120.4264,5.67,55,100,7.3,RU,1715141281
238,malango,-2.9627,119.9001,27.42,71,56,1.22,ID,1715141281
239,ustka,54.5805,16.8619,4.06,68,20,2.83,PL,1715141281
240,igarka,67.4667,86.5833,-3.88,92,100,5.36,RU,1715141281
241,klyuchi,52.2667,79.1667,16.44,50,20,3.72,RU,1715141281
242,belmonte,-15.8631,-38.8828,25.05,82,22,2.68,BR,1715141282
243,xilin hot,43.9667,116.0333,27.12,12,54,8.18,CN,1715141282
244,afaahiti,-17.75,-149.2833,26.93,79,94,6.9,PF,1715141282
245,erdenet,49.0333,104.0833,8.44,42,100,1.01,MN,1715141282
246,ta`u,-14.2336,-169.5144,29.25,78,97,3.92,AS,1715141282
247,shalqar,47.8333,59.6,18.11,43,100,9.83,KZ,1715141283
248,fort st. john,56.2499,-120.8529,7.09,43,32,2.97,CA,1715141283
249,northam,51.0333,-4.2167,10.37,96,100,0.87,GB,1715141283
250,aleg,17.0481,-13.9209,28.61,18,0,4.89,MR,1715141283
251,yeppoon,-23.1333,150.7333,26.25,76,25,9.83,AU,1715141283
252,tindouf,27.6711,-8.1474,24.58,17,70,3.92,DZ,1715141283
253,cill airne,52.05,-9.5167,9.73,88,100,1.57,IE,1715141284
254,ji'an,27.1172,114.9793,28.26,50,100,3.94,CN,1715141284
255,ulety,51.3572,112.4849,15.54,16,0,5.77,RU,1715141284
256,curillo,1.0333,-75.9191,23.94,97,100,0.52,CO,1715141284
257,dwarka,22.2394,68.9678,28.82,74,0,5.21,IN,1715141284
258,palmer,42.1584,-72.3287,16.23,75,0,0.0,US,1715141116
259,atafu village,-8.5421,-172.5159,28.99,76,99,3.14,TK,1715141285
260,mejit,10.2753,170.8646,27.65,83,46,9.22,MH,1715141285
261,broken hill,-31.95,141.4333,19.48,44,12,6.08,AU,1715141285
262,xinyuan,37.3,99.0,11.73,27,1,0.98,CN,1715141285
263,verkhnyaya khava,51.8404,39.9413,4.5,73,78,7.21,RU,1715141285
264,thakhek,17.4103,104.8307,36.07,40,100,0.75,LA,1715141286
265,nantucket,41.2835,-70.0995,11.08,93,44,5.22,US,1715141158
266,uvalde,29.3669,-99.767,25.78,87,0,0.0,US,1715141286
267,marsh harbour,26.5412,-77.0636,23.85,77,1,4.31,BS,1715141286
268,mikuni,36.2171,136.1519,11.21,82,100,8.06,JP,1715141286
269,tual,-5.6667,132.75,27.87,77,100,7.09,ID,1715141286
270,haiku-pauwela,20.9219,-156.3051,22.9,77,40,10.29,US,1715141287
271,caleta de carquin,-11.0925,-77.6267,18.93,92,77,5.36,PE,1715141287
272,la'ie,21.6477,-157.9253,25.98,78,29,2.24,US,1715141035
273,barcelos,41.5388,-8.6151,17.69,70,99,2.9,PT,1715141287
274,portland,45.5234,-122.6762,11.97,65,0,3.6,US,1715141152
275,hamilton,39.1834,-84.5333,19.87,95,100,21.9,US,1715141287
276,prairie du chien,43.0517,-91.1412,17.01,51,0,2.06,US,1715141288
277,suihua,46.6406,126.9969,24.9,12,59,7.21,CN,1715141288
278,freetown,8.484,-13.2299,27.43,85,90,1.38,SL,1715141288
279,phalaborwa,-23.943,31.1411,15.87,60,0,1.02,ZA,1715141288
280,sao jose da coroa grande,-8.8978,-35.1478,25.98,88,18,4.72,BR,1715141288
281,qaqortoq,60.7167,-46.0333,-0.26,60,97,1.05,GL,1715141288
282,egilsstadir,65.2653,-14.3948,3.57,75,23,3.81,IS,1715141289
283,al kharijah,25.4514,30.5464,19.69,19,8,3.25,EG,1715141289
284,harstad,68.799,16.5293,2.66,62,5,8.94,NO,1715141289
285,kapuskasing,49.4169,-82.4331,5.38,74,59,4.72,CA,1715141289
286,luderitz,-26.6481,15.1594,16.44,85,3,8.74,NA,1715141289
287,yeed,4.55,43.0333,25.26,83,85,6.4,SO,1715141290
288,aweil,8.7682,27.4002,28.87,39,12,2.18,SS,1715141290
289,an nuhud,12.7,28.4333,25.43,17,9,6.21,SD,1715141290
290,sretensk,52.2453,117.7093,15.83,19,60,7.81,RU,1715141290
291,ad dabbah,18.05,30.95,23.67,17,17,4.17,SD,1715141290
292,arvayheer,46.2639,102.775,10.88,43,98,4.77,MN,1715141290
293,coquimbo,-29.9533,-71.3436,15.02,77,100,2.04,CL,1715141291
294,weno,7.4515,151.8468,27.35,80,100,6.46,FM,1715141291
295,pathein,16.7833,94.7333,36.63,37,2,5.08,MM,1715141291
296,miyazu,35.5333,135.1833,10.81,89,100,3.49,JP,1715141291
297,porto-vecchio,41.591,9.2795,13.74,82,0,5.66,FR,1715141291
298,goondiwindi,-28.55,150.3167,24.54,35,29,2.73,AU,1715141291
299,langepas,61.2544,75.2124,2.49,74,63,7.97,RU,1715141292
300,byron bay,-28.65,153.6167,20.39,71,98,5.12,AU,1715141079
301,nova vicosa,-17.8919,-39.3719,24.85,86,17,2.28,BR,1715141292
302,mukalla,14.5425,49.1242,28.66,75,6,3.03,YE,1715141292
303,kailua-kona,19.6406,-155.9956,25.98,90,100,4.12,US,1715141292
304,jasper,37.2001,-94.3502,18.64,66,0,3.6,US,1715141293
305,berezovyy,51.6667,135.7,18.77,31,85,2.4,RU,1715141293
306,belyy yar,53.6039,91.3903,15.94,33,0,2.0,RU,1715141293
307,sinabang,2.4803,96.3801,29.99,72,100,1.02,ID,1715141293
308,grantsville,40.5999,-112.4644,6.84,52,75,2.57,US,1715141293
309,nagqu,31.5,92.0,8.34,32,69,6.06,CN,1715141294
310,leava,-14.3,-178.1667,29.41,81,100,7.24,WF,1715141294
311,calama,-22.4667,-68.9333,12.4,36,2,2.16,CL,1715141294
312,lerwick,60.1545,-1.1494,6.0,83,100,4.27,GB,1715141294
313,playa del ingles,27.7567,-15.5787,18.86,90,24,2.06,ES,1715141294
314,winnemucca,40.973,-117.7357,6.01,38,42,3.72,US,1715141295
315,shenjiamen,29.9576,122.298,17.74,71,0,6.12,CN,1715141295
316,guerrero negro,27.9769,-114.0611,15.58,84,0,6.98,MX,1715141295
317,dobroye,52.8678,39.8109,4.86,65,32,6.76,RU,1715141295
318,sisimiut,66.9395,-53.6735,-3.3,95,100,2.99,GL,1715141296
319,troitsko-pechorsk,62.7084,56.1964,-0.73,77,100,2.68,RU,1715141296
320,elk city,35.412,-99.4043,18.99,48,0,5.66,US,1715141296
321,sandpoint,48.2766,-116.5533,9.32,71,0,0.45,US,1715141214
322,mount gambier,-37.8333,140.7667,18.29,47,0,2.7,AU,1715141071
323,newman,37.3138,-121.0208,18.13,50,30,4.47,US,1715141296
324,sechura,-5.5569,-80.8222,21.0,77,82,6.03,PE,1715141296
325,nartan,43.5108,43.6994,14.07,75,100,1.61,RU,1715141297
326,fukuchiyama,35.3,135.1167,11.48,93,100,2.82,JP,1715141297
327,alofi,-19.0595,-169.9187,26.94,94,100,4.12,NU,1715141297
328,savanna-la-mar,18.219,-78.1332,27.18,91,4,1.05,JM,1715141297
329,urengoy,65.9667,78.3667,-0.87,98,100,6.59,RU,1715141297
330,ouled mimoun,34.9047,-1.0339,11.01,69,1,1.45,DZ,1715141298
331,hilo,19.7297,-155.09,24.6,91,100,3.09,US,1715141298
332,tsengel,49.4783,100.8894,11.16,49,100,3.75,MN,1715141298
333,kiunga,-6.1219,141.2906,24.94,98,100,0.78,PG,1715141298
334,revda,56.801,59.9303,12.79,74,53,6.47,RU,1715141298
335,dilling,12.05,29.65,24.89,17,43,3.33,SD,1715141299
336,slupsk,54.4641,17.0287,3.2,70,34,2.26,PL,1715141299
337,fort bragg,35.139,-79.006,24.39,88,87,0.45,US,1715141299
338,prien,30.1819,-93.2738,25.99,96,75,4.63,US,1715141299
339,novodvinsk,64.4165,40.8122,-4.01,88,23,2.77,RU,1715141299
340,umri,26.5106,78.9367,36.17,27,32,5.65,IN,1715141299
341,lorengau,-2.0226,147.2712,27.62,84,100,7.33,PG,1715141300
342,chonchi,-42.6128,-73.8092,4.51,89,92,1.22,CL,1715141300
343,zavidovo,56.5333,36.5333,0.08,61,27,4.7,RU,1715141300
344,mana,5.6592,-53.7767,26.24,84,100,4.47,GF,1715141300
345,cabo san lucas,22.8909,-109.9124,24.78,36,100,4.92,MX,1715141177
346,ra's bayrut,33.9,35.4833,18.94,55,0,2.7,LB,1715141301
347,rio grande,-32.035,-52.0986,20.9,96,98,3.46,BR,1715141301
348,zhezqazghan,47.7833,67.7667,16.32,67,0,6.0,KZ,1715141301
349,zhangzhou,24.5133,117.6556,23.75,82,100,1.53,CN,1715141301
350,hadibu,12.65,54.0333,28.92,74,6,1.11,YE,1715141301
351,eastham,41.8301,-69.9739,11.64,95,100,3.09,US,1715141302
352,mata-utu,-13.2816,-176.1745,29.69,77,93,5.97,WF,1715141302
